Тест-кейсы stroyseven;;;;;;;;;;;
ID;Название (Title):;Описание( Summary):;;Приоритет (Priority);Предусловия (Preconditions);Шаги (Steps to reproduce):;;Ожидаемый результат (Expected result):	;;Фактический результат;Фиксация бага
1;Регистрация как розничный покупатель;Пользователь успешно регистрируется как розничный покупатель;;Высокий;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Открывается поле авторизации с кликабельными кнопками«Забыли пароль?» ,«Войти», «Регистрация»;;;
;;;;;;3. Нажать на кнопку «Регистрация»;;3. Открывается страница быстрой регистрации https://stroyseven.ru/index.php?route=account/simpleregister;;;
;;;;;;4. Нажать на радио-кнопку «Розничный покупатель»;;4. Появляются поля для регистрации пользователя как розничного покупателя;;;
;;;;;;5. Заполнить поле «ФИО или название компании»;;5. Поле заполняется валидными значениями;;;
;;;;;;6. Заполнить поле «email»;;6. Поле заполняется валидными значениями;;;
;;;;;;7. Заполнить поле «телефон»;;7. Поле заполняется валидными значениями;;;
;;;;;;8. Заполнить поле «пароль»;;8. Поле заполняется валидными значениями;;;
;;;;;;9. Заполнить поле «подтвердите пароль»;;9. Поле заполняется валидными значениями;;;
;;;;;;10. Нажать на кнопку «Продолжить»;;10. Пользователь как розничный покупатель зарегистрирован и попадает на страницу https://stroyseven.ru/index.php?route=account/success;;;
2;Регистрация как юридическое лицо;Пользователь успешно регистрируется как юридическое лицо;;Высокий;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Кабинет»;;2. Открывается поле авторизации с кликабельными кнопками«Забыли пароль?» ,«Войти», «Регистрация»;;;
;;;;;;3. Нажать на кнопку «Регистрация»;;3. Открывается страница быстрой регистрации https://stroyseven.ru/index.php?route=account/simpleregister;;;
;;;;;;4. Нажать на радио-кнопку «Юридическое лицо»;;4. Появляются поля для регистрации пользователя как юридическое лицо;;;
;;;;;;5. Заполнить поле «ФИО или название компании»;;5. Поле заполняется валидными значениями;;;
;;;;;;6. Заполнить поле «ИНН»;;6. Поле заполняется валидными значениями;;;
;;;;;;7. Заполнить поле «email»;;7. Поле заполняется валидными значениями;;;
;;;;;;8. Заполнить поле «телефон»;;8. Поле заполняется валидными значениями;;;
;;;;;;9. Заполнить поле «пароль»;;9. Поле заполняется валидными значениями;;;
;;;;;;10. Заполнить поле «подтвердите пароль»;;10. Поле заполняется валидными значениями;;;
;;;;;;11. Нажать на кнопку «Продолжить»;;11. Пользователь как розничный покупатель зарегистрирован и попадает на страницу https://stroyseven.ru/index.php?route=account/success;;;
3;Ввод граничных значений в поле ввода «ФИО или название компании» при регистрации;Система должна правильно реагировать на ввод граничных значений в поле «ФИО или название компании» ;;Средний ;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Вести в поле ФИО слово из 32 букв на кириллице и нажать на кнопку «Продолжить»;;2. Поле заполняется данными;;;
;;;;;;3. Вести в поле ФИО слово из 33 букв на кириллице и нажать на кнопку «Продолжить»;;3. Появляется сообщение «Имя должно быть от 1 до 32 символов!»;;;
;;;;;;4. Вести в поле ФИО слово из 1 буквы на кириллице и нажать на кнопку «Продолжить»;;4. Поле заполняется данными;;;
4;Ввод валидных значений в поле ввода «ФИО или название компании» при регистрации;Система должна правильно реагировать на ввод валидных значений в поле «ФИО или название компании» ;;Высокий;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести любое слово или любое количество слов на кириллице в поле ФИО, где сумма всех букв в поле будет <=32 и нажать на кнопку «Продолжить»;;2. Поле заполняется данными;;;
;;;;;;3. Ввести любое слово или любое количество слов на латинице в поле ФИО, где сумма всех букв в поле будет <=32 и нажать на кнопку «Продолжить»;;3. Поле заполняется данными;;;
;;;;;;4. Вести в поле ФИО цифры в количестве <=32 и нажать на кнопку «Продолжить»;;4. Поле заполняется данными;;;
;;;;;;5. Вести в поле ФИО спецсимволы в количестве <=32 и нажать на кнопку «Продолжить»;;5. Поле заполняется данными;;;
5;Отсутсвие значений в поле ввода «ФИО или название компании» при регистрации;Система должна правильно реагировать на отсутствие значений в поле «ФИО или название компании» ;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Оставить пустое поле ввода ФИО и нажать на кнопку «Продолжить»;;2. Появляется сообщение «Имя должно быть от 1 до 32 символов!»;;;
6;Ввод валидных значений в поле ввода «email» при регистрации;Система должна правильно реагировать на ввод валидных значений в поле «email»;;Высокий;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;"2. Вводим данные в поле в формате username@hostname соответствующие следующим требованиям:
Имя пользователя (username) может содержать:
- латиницу
- цифры
- знаки! # $ % & ‘ * + — / =? ^ _ ` { | } ~
- точку, за исключением первого и последнего знака, которая не может повторяться.
Имя хоста (hostname) состоит из нескольких компонентов, разделённых точкой и не превышающих 63 символа, и суффиксов (домены первого уровня). 
Имя хоста (hostname) может содержать:
- латиницу
- цифры
- дефисов, причём дефисы не могут быть в начале или в конце компонента.
Длина email не более 320 символов.
Длина домена первого уровня 2-63 буквы после точки.";;2. Поле заполняется данными;;;
7;Ввод невалидных значений в поле ввода «email» при регистрации;Система должна правильно реагировать на ввод невалидных значений в поле «email»;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести email без точек в доменной части и нажать на кнопку «Продолжить»;;2. Появляется  надпись «Некорректный адрес электронной почты!»;;2. Поле заполняется данными;Баг-репорт 1
;;;;;;3. Ввести данные в поле без символа @ и нажать на кнопку «Продолжить»;;3. Появляется надпись «Некорректный адрес электронной почты!»;;;
;;;;;;4. Ввести email с пробелами в имени аккаунта и нажать на кнопку «Продолжить»;;4. Появляется  надпись «Некорректный адрес электронной почты!»;;4. Поле заполняется данными;Баг-репорт 2
;;;;;;5. Ввести email с пробелами в доменной части и нажать на кнопку «Продолжить»;;5. Появляется  надпись «Некорректный адрес электронной почты!»;;5. Поле заполняется данными;Баг-репорт 3
8;Отсутсвие значений в поле ввода «email» при регистрации;Система должна правильно реагировать на отсутствие значений в поле «email»;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Оставить пустое поле ввода «email» и нажать на кнопку «Продолжить»;;2. Появляется надпись «Некорректный адрес электронной почты!»;;;
9;Ввод граничных значений в поле ввода «телефон» при регистрации;Система должна правильно реагировать на ввод граничных значений в поле «телефон»;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести в поле ввода номера телефона 9 цифр и нажать на кнопку «Продолжить» (+7 добавляется автоматически);;2. Появляется надпись «Заполните поле»;;2. Из поля удаляются данные;Баг-репорт 4
;;;;;;3. Ввести в поле ввода номера телефона 10 цифр и нажать на кнопку «Продолжить» +7 добавляется автоматически);;3. Поле заполняется данными;;;
;;;;;;4. Ввести в поле ввода номера телефона 11 цифр и нажать на кнопку «Продолжить» +7 добавляется автоматически);;4. Вводятся только 10 цифр;;;
10;Ввод валидных значений в поле ввода «телефон» при регистрации;Система должна правильно реагировать на ввод валидных значений в поле «телефон»;;Высокий;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести в поле ввода номера телефона данные в формате +7-xxx-xxx-xx-xx и нажать на кнопку «Продолжить» (+7 добавляется автоматически);;2. Поле заполняется данными;;;
;;;;;;3. Ввести в поле ввода номера телефона данные в формате 8-xxx-xxx-xx-xx и нажать на кнопку «Продолжить» (+7 добавляется автоматически);;3. Поле заполняется данными;;3. Поле не поддерживает формат ввода телефона 8-xxx-xxx-xx-xx;Баг-репорт 5
;;;;;;4. Ввести в поле ввода номера телефона данные без первой цифры;;4. +7 добавляется автоматически, поле заполняется данными;;;
11;Ввод невалидных значений в поле ввода «телефон» при регистрации;Система должна правильно реагировать на ввод невалидных значений в поле «телефон»;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
;;;;;;2. Ввести в поле ввода номера телефона буквы на латинице;;2. Поле не заполняется данными;;;
;;;;;;3. Ввести в поле ввода номера телефона буквы на кириллице;;3. Поле не заполняется данными;;;
;;;;;;4. Ввести в поле ввода номера телефона спецсимволы;;4. Поле не заполняется данными;;;
12;Отсутсвие значений в поле ввода «телефон» при регистрации;Система должна правильно реагировать на отсутствие значений в поле «телефон»;;Средний;Быть не зарегистрированным пользователем;1. Открыть страницу https://stroyseven.ru/index.php?route=account/simpleregister;;1. Открывается страница быстрой регистрации;;;
